NTA2020,n_tracts,n_incidents,gini_tracts,crime_type
BX1003,6,275,0.2696969696969697,Felony assault
BX1004,7,226,0.40075853350189633,Felony assault
BX1101,9,466,0.22889842632331903,Felony assault
BX1102,10,273,0.4421245421245421,Felony assault
BX1103,10,320,0.5625,Felony assault
BX1104,9,631,0.269765803838704,Felony assault
BX1201,20,1496,0.33342245989304814,Felony assault
BX1202,12,957,0.33063392546151166,Felony assault
BX1203,16,933,0.4220927116827438,Felony assault
MN0101,7,380,0.28421052631578947,Felony assault
MN0102,5,477,0.42348008385744235,Felony assault
MN0201,6,220,0.2590909090909091,Felony assault
MN0202,7,464,0.37807881773399016,Felony assault
MN0203,7,380,0.3218045112781955,Felony assault
MN0301,7,573,0.24781849912739964,Felony assault
MN0302,10,765,0.3739869281045752,Felony assault
MN0303,14,775,0.2487557603686636,Felony assault
MN0401,13,747,0.32293275666769644,Felony assault
MN0402,10,750,0.3821333333333333,Felony assault
MN0501,8,830,0.3421686746987952,Felony assault
MN0502,14,1489,0.5192842751607023,Felony assault
MN0601,2,27,0.12962962962962962,Felony assault
MN0602,4,201,0.17288557213930347,Felony assault
MN0603,9,583,0.45816657137411854,Felony assault
MN0604,10,277,0.37725631768953066,Felony assault
MN0701,11,352,0.4581611570247934,Felony assault
MN0702,12,438,0.3287671232876712,Felony assault
MN0703,6,399,0.38220551378446116,Felony assault
MN0801,14,284,0.30533199195171024,Felony assault
MN0802,14,238,0.3619447779111645,Felony assault
MN0803,14,276,0.4808488612836439,Felony assault
MN0901,8,338,0.48298816568047337,Felony assault
MN0902,5,471,0.3184713375796178,Felony assault
MN0903,7,676,0.1382079459002536,Felony assault
MN1001,10,907,0.2464167585446527,Felony assault
MN1002,15,1960,0.19925170068027212,Felony assault
MN1101,11,1380,0.31554677206851117,Felony assault
MN1102,12,1927,0.23521017125064866,Felony assault
MN1201,11,1020,0.32887700534759357,Felony assault
MN1202,12,747,0.392570281124498,Felony assault
MN1203,6,525,0.3780952380952381,Felony assault
QN0101,17,292,0.3561643835616438,Felony assault
QN0102,6,197,0.43908629441624364,Felony assault
QN0103,11,322,0.26256352343308864,Felony assault
QN0104,14,404,0.3023338048090523,Felony assault
QN0105,12,783,0.3930395913154534,Felony assault
QN0201,9,269,0.35852953325072284,Felony assault
QN0202,18,365,0.21750380517503806,Felony assault
QN0203,14,368,0.3563664596273292,Felony assault
QN0301,20,859,0.33311990686845167,Felony assault
QN0302,10,324,0.21790123456790123,Felony assault
QN0303,10,666,0.19099099099099098,Felony assault
QN0401,23,1571,0.3805939169180528,Felony assault
QN0402,17,1151,0.22507282669801196,Felony assault
QN0501,20,263,0.2876425855513308,Felony assault
QN0502,19,528,0.25199362041467305,Felony assault
QN0503,13,228,0.3582995951417004,Felony assault
QN0504,14,149,0.387823585810163,Felony assault
QN0601,8,164,0.3704268292682927,Felony assault
QN0602,24,325,0.4403846153846154,Felony assault
QN0701,7,236,0.28934624697336564,Felony assault
QN0702,7,64,0.36160714285714285,Felony assault
QN0703,5,66,0.2909090909090909,Felony assault
QN0704,15,239,0.27280334728033473,Felony assault
QN0705,14,176,0.3555194805194805,Felony assault
QN0706,5,167,0.1437125748502994,Felony assault
QN0707,14,777,0.32496782496782495,Felony assault
QN0801,8,174,0.2686781609195402,Felony assault
QN0802,8,291,0.4531786941580756,Felony assault
QN0803,6,81,0.3395061728395062,Felony assault
QN0804,8,106,0.37028301886792453,Felony assault
QN0805,10,256,0.4125,Felony assault
QN0901,9,159,0.4779874213836478,Felony assault
QN0902,13,436,0.3944954128440367,Felony assault
QN0903,9,259,0.16473616473616473,Felony assault
QN0904,10,219,0.20228310502283106,Felony assault
QN0905,13,243,0.28110161443494774,Felony assault
QN1001,25,1133,0.2540511915269197,Felony assault
QN1002,7,234,0.28815628815628813,Felony assault
QN1003,4,168,0.19047619047619047,Felony assault
QN1101,13,131,0.26541397533763944,Felony assault
QN1102,13,153,0.342885872297637,Felony assault
QN1103,6,58,0.13793103448275862,Felony assault
QN1104,5,61,0.31475409836065577,Felony assault
QN1201,15,1841,0.35118594966503713,Felony assault
QN1202,14,787,0.32555817752768196,Felony assault
QN1203,20,626,0.331629392971246,Felony assault
QN1204,6,306,0.3420479302832244,Felony assault
QN1205,23,506,0.3562467777968723,Felony assault
QN1206,10,312,0.30128205128205127,Felony assault
